id	model	local_AUC	local_P@L	local_P@L2	local_P@L5	short_AUC	short_P@L	short_P@L2	short_P@L5	medium_AUC	medium_P@L	medium_P@L2	medium_P@L5	long_AUC	long_P@L	long_P@L2	long_P@L5	tm_score	plddt
cut0000_ptm0.928_r3	ESM-2 (Unsupervised)	0.7957868576049805	0.6370370388031006	0.8208954930305481	0.8888888955116272	0.615166962146759	0.392592579126358	0.5970149040222168	0.8148148059844971	0.6472413539886475	0.422222226858139	0.6567164063453674	0.8148148059844971	0.7593757510185242	0.6296296119689941	0.8059701323509216	0.8518518805503845	1.0	95.19421481481481
cut0001_ptm0.928_r3	ESM-2 (Unsupervised)	0.797939121723175	0.614814817905426	0.8208954930305481	0.92592591047287	0.6274737119674683	0.4000000059604645	0.6268656849861145	0.8518518805503845	0.6513771414756775	0.4296296238899231	0.6567164063453674	0.8148148059844971	0.7524607181549072	0.6370370388031006	0.7910447716712952	0.8518518805503845	0.98376	95.08418518518519
cut0002_ptm0.928_r3	ESM-2 (Unsupervised)	0.7923862338066101	0.6000000238418579	0.8059701323509216	0.92592591047287	0.6171045303344727	0.385185182094574	0.5970149040222168	0.8518518805503845	0.6473681926727295	0.4370370507240295	0.641791045665741	0.8148148059844971	0.759314239025116	0.6370370388031006	0.8059701323509216	0.8148148059844971	0.9849	94.9289037037037
cut0003_ptm0.923_r3	ESM-2 (Unsupervised)	0.7813346982002258	0.5925925970077515	0.7910447716712952	0.92592591047287	0.6140180826187134	0.385185182094574	0.5970149040222168	0.8518518805503845	0.6437118053436279	0.4296296238899231	0.641791045665741	0.8148148059844971	0.7582678198814392	0.6222222447395325	0.7910447716712952	0.8148148059844971	0.98217	94.27831111111111
cut0004_ptm0.897_r3	ESM-2 (Unsupervised)	0.7843703627586365	0.5925925970077515	0.8059701323509216	0.92592591047287	0.6130921244621277	0.385185182094574	0.5970149040222168	0.8148148059844971	0.6436973810195923	0.4370370507240295	0.641791045665741	0.8148148059844971	0.7453895807266235	0.6000000238418579	0.746268630027771	0.8518518805503845	0.96483	91.39507407407409
cut0005_ptm0.896_r3	ESM-2 (Unsupervised)	0.7767477631568909	0.585185170173645	0.8208954930305481	0.92592591047287	0.6158192157745361	0.385185182094574	0.611940324306488	0.8148148059844971	0.6451426148414612	0.4444444477558136	0.6567164063453674	0.7777777910232544	0.7501275539398193	0.5925925970077515	0.746268630027771	0.92592591047287	0.95558	91.22975555555556
cut0006_ptm0.901_r3	ESM-2 (Unsupervised)	0.7808972597122192	0.6000000238418579	0.8059701323509216	0.92592591047287	0.624839186668396	0.385185182094574	0.611940324306488	0.8518518805503845	0.6391671895980835	0.4370370507240295	0.641791045665741	0.7777777910232544	0.7294738292694092	0.5777778029441833	0.746268630027771	0.8518518805503845	0.98058	92.0127925925926
cut0007_ptm0.877_r3	ESM-2 (Unsupervised)	0.7542558908462524	0.5629629492759705	0.7910447716712952	0.92592591047287	0.6176223754882812	0.385185182094574	0.5970149040222168	0.8518518805503845	0.6401041746139526	0.422222226858139	0.6567164063453674	0.7777777910232544	0.7303360104560852	0.5777778029441833	0.746268630027771	0.8518518805503845	0.97193	89.73462962962964
cut0008_ptm0.846_r3	ESM-2 (Unsupervised)	0.7615081071853638	0.585185170173645	0.7761194109916687	0.92592591047287	0.6169852018356323	0.385185182094574	0.611940324306488	0.8148148059844971	0.6471412181854248	0.4370370507240295	0.6567164063453674	0.8148148059844971	0.6900972127914429	0.5555555820465088	0.7014925479888916	0.8518518805503845	0.96759	86.29642222222222
cut0009_ptm0.896_r3	ESM-2 (Unsupervised)	0.7985091209411621	0.6222222447395325	0.8208954930305481	0.92592591047287	0.6186134219169617	0.392592579126358	0.611940324306488	0.8518518805503845	0.6465383768081665	0.4296296238899231	0.6567164063453674	0.8148148059844971	0.670601487159729	0.5111111402511597	0.6865671873092651	0.8148148059844971	0.99562	91.93494814814814
cut0010_ptm0.859_r3	ESM-2 (Unsupervised)	0.7863094210624695	0.614814817905426	0.7910447716712952	0.92592591047287	0.6129344701766968	0.385185182094574	0.611940324306488	0.8148148059844971	0.6441255807876587	0.4296296238899231	0.6716417670249939	0.8148148059844971	0.6577621698379517	0.5259259343147278	0.6865671873092651	0.8148148059844971	0.99278	88.47051111111111
cut0011_ptm0.836_r3	ESM-2 (Unsupervised)	0.7681369185447693	0.6000000238418579	0.746268630027771	0.92592591047287	0.6134241223335266	0.385185182094574	0.5970149040222168	0.8148148059844971	0.648648202419281	0.4296296238899231	0.6716417670249939	0.8148148059844971	0.658063530921936	0.5185185074806213	0.6865671873092651	0.7777777910232544	0.96493	85.00827407407408
cut0012_ptm0.836_r3	ESM-2 (Unsupervised)	0.738118052482605	0.585185170173645	0.7164179086685181	0.8888888955116272	0.6161839365959167	0.385185182094574	0.5820895433425903	0.8148148059844971	0.6378306150436401	0.4148148000240326	0.6716417670249939	0.8148148059844971	0.6185872554779053	0.4740740656852722	0.6268656849861145	0.7407407164573669	0.95526	85.00864444444444
cut0013_ptm0.835_r3	ESM-2 (Unsupervised)	0.7460516691207886	0.585185170173645	0.7313432693481445	0.8888888955116272	0.6228727102279663	0.385185182094574	0.611940324306488	0.8518518805503845	0.6466344594955444	0.422222226858139	0.6716417670249939	0.8148148059844971	0.6289384365081787	0.4888888895511627	0.641791045665741	0.7407407164573669	0.95485	85.07646666666668
cut0014_ptm0.818_r3	ESM-2 (Unsupervised)	0.7814751863479614	0.614814817905426	0.7910447716712952	0.92592591047287	0.6260641813278198	0.385185182094574	0.611940324306488	0.8518518805503845	0.6456597447395325	0.422222226858139	0.6567164063453674	0.8148148059844971	0.628856897354126	0.4888888895511627	0.6567164063453674	0.7407407164573669	0.95248	83.87777037037037
cut0015_ptm0.898_r3	ESM-2 (Unsupervised)	0.7897763848304749	0.6370370388031006	0.7910447716712952	0.8888888955116272	0.6285024881362915	0.385185182094574	0.611940324306488	0.8518518805503845	0.6483868360519409	0.422222226858139	0.6716417670249939	0.8148148059844971	0.6295961141586304	0.4888888895511627	0.641791045665741	0.7777777910232544	0.99398	92.08652592592594
cut0016_ptm0.919_r3	ESM-2 (Unsupervised)	0.8030837178230286	0.6518518328666687	0.8059701323509216	0.92592591047287	0.6157369613647461	0.3777777850627899	0.5970149040222168	0.8148148059844971	0.6621330976486206	0.4370370507240295	0.6865671873092651	0.8148148059844971	0.6493513584136963	0.4962962865829468	0.6567164063453674	0.8148148059844971	0.99086	93.76337037037037
